"English","Normalized","Georgian","Status","CandidateCount"
"(Ivertubani)","ivertubani","ივერთუბნის ქუჩა","exact","1"
"13 Asureli Mamis st.","13 asureli mamis","","unmatched","0"
"17 Shindiseli gmiri st.","17 shindiseli gmiri","17 შინდისელი გმირის ქუჩა","exact","1"
"26 Maisi st.","26 maisi","26 მაისის ქუჩა","exact","1"
"26 May Square","26 may","","ambiguous","2"
"4000 Meskhi st.","4000 meskhi","","unmatched","0"
"8 march st.","8 march","8 მარტის ქუჩა","exact","1"
"9 april st.","9 april","","ambiguous","2"
"9 dzma st.","9 dzma","9 ძმის ქუჩა","exact","1"
"A Microdistrict - Gldani","a microdistrict gldani","გლდანის ქუჩა","unique-contained-name","1"
"A. Amaglobeli St.","a amaglobeli","","unmatched","0"
"a. baramidze st.","a baramidze","","unmatched","0"
"A. Chxenkeli st.","a chxenkeli","","unmatched","0"
"A. Dadiani st.","a dadiani","დადიანის ქუჩა","unique-contained-name","1"
"a. gelovani st.","a gelovani","გელოვანის ქუჩა","unique-contained-name","1"
"a. janelidze st.","a janelidze","ჯანელიძის ქუჩა","unique-contained-name","1"
"a. jordania st.","a jordania","ჟორდანიას ქუჩა","unique-contained-name","1"
"a. katalikosi dead end","a katalikosi dead end","","unmatched","0"
"a. kereseliZi st.","a kereselizi","","unmatched","0"
"a. kutateladze st.","a kutateladze","ქუთათელაძის ქუჩა","unique-contained-name","1"
"a. managadze st.","a managadze","","unmatched","0"
"a. shengelaia st.","a shengelaia","","unmatched","0"
"A. Vasadze st.","a vasadze","","unmatched","0"
"A.Andronikashvili st.","a andronikashvili","ანდრონიკაშვილის ქუჩა","unique-contained-name","1"
"A.Bakradze st.","a bakradze","ბაქრაძის ქუჩა","unique-contained-name","1"
"A.kalandaze st.","a kalandaze","","unmatched","0"
"A.Mgeladze st.","a mgeladze","მგელაძის ქუჩა","unique-contained-name","1"
"a.qurdiani st.","a qurdiani","","unmatched","0"
"a.wereTlis avenue","a weretlis","","unmatched","0"
"Abano I dead end","abano i dead end","აბანოს ქუჩა","unique-contained-name","1"
"Abano II Cikhi","abano ii cikhi","აბანოს ქუჩა","unique-contained-name","1"
"Abano st.","abano","აბანოს ქუჩა","exact","1"
"abasha st.","abasha","აბაშის ქუჩა","exact","1"
"Abashidze-Orbeliani st.","abashidze orbeliani","","ambiguous","3"
"Abashvili st.","abashvili","გიორგი აბაშვილის ქუჩა","unique-contained-name","1"
"abastumani st.","abastumani","","ambiguous","3"
"abesadze st.","abesadze","აბესაძის ქუჩა","exact","1"
"abesuridze tbeli st.","abesuridze tbeli","","unmatched","0"
"abo tbileli st.","abo tbileli","","unmatched","0"
"abovian st.","abovian","ხაჩატურ აბოვიანის ქუჩა","unique-contained-name","1"
"Abramishvili st.","abramishvili","","ambiguous","5"
"Abuladze st.","abuladze","","ambiguous","4"
"abuli st.","abuli","აბულის ქუჩა","exact","1"
"Achabeti St.","achabeti","აჩაბეთის ქუჩა","exact","1"
"ackuri st.","ackuri","","unmatched","0"
"adigeni st.","adigeni","ადიგენის ქუჩა","exact","1"
"adjara st.","adjara","აჭარის ქუჩა","exact","1"
"aerodromi village","aerodromi village","","unmatched","0"
"Afkhaidze st.","afkhaidze","","unmatched","0"
"Afkhazeti st.","afkhazeti","","unmatched","0"
"Afrika","afrika","","unmatched","0"
"agara st.","agara","","ambiguous","2"
"Agiashvili st.","agiashvili","ნიკოლოზ აგიაშვილის ქუჩა","unique-contained-name","1"
"aglazde st.","aglazde","","unmatched","0"
"agmashenebeli alley","agmashenebeli alley","","unmatched","0"
"Agmashenebeli Alley (Digomi)","agmashenebeli alley digomi","","unmatched","0"
"agmashenebeli ave","agmashenebeli","","ambiguous","2"
"Airport road","airport","აეროპორტის გზატკეცილი","exact","1"
"airpot settlement","airpot settlement","","unmatched","0"
"Aisi II Lane","aisi ii","აისის ქუჩა","unique-contained-name","1"
"Aisi St.","aisi","აისის ქუჩა","exact","1"
"ajameti st.","ajameti","აჯამეთის ქუჩა","exact","1"
"aketi st.","aketi","","unmatched","0"
"Akhalarsenali St.","akhalarsenali","ახალარსენალის I ქუჩა","unique-contained-name","1"
"akhalcikhe st.","akhalcikhe","","unmatched","0"
"akhaldaba st.","akhaldaba","ახალდაბას ქუჩა","exact","1"
"akhalkalaki st.","akhalkalaki","","ambiguous","2"
"Akhalmocameta st.","akhalmocameta","","unmatched","0"
"akhalsheni st.","akhalsheni","","unmatched","0"
"Akhaltsikheli st.","akhaltsikheli","","ambiguous","3"
"akhalubani st.","akhalubani","ახალუბანის ქუჩა","exact","1"
"Akhmeteli st.","akhmeteli","ახმეტელის ქუჩა","exact","1"
"akhmeti st.","akhmeti","","unmatched","0"
"akhospireli st.","akhospireli","ბეგლარ ახოსპირელის ქუჩა","unique-contained-name","1"
"akhtala st.","akhtala","ახტალის ქუჩა","exact","1"
"Akhundov st.","akhundov","","ambiguous","2"
"akhuti st.","akhuti","ახუთის ქუჩა","exact","1"
"akopian st.","akopian","","unmatched","0"
"akuri st.","akuri","","unmatched","0"
"al. chavchavadze","al chavchavadze","","unmatched","0"
"al.ioseliani st.","al ioseliani","იოსელიანის ქუჩა","unique-contained-name","1"
"aladashvili st.","aladashvili","ალადაშვილის ქუჩა","exact","1"
"Aladasturi st.","aladasturi","ალადასტურის ქუჩა","exact","1"
"Alaverdeli St.","alaverdeli","იოსებ ალავერდელის ქუჩა","unique-contained-name","1"
"Alaverdi st.","alaverdi","ალავერდის ქუჩა","exact","1"
"alazni st.","alazni","","unmatched","0"
"Aleksandre Basilaia's alley","aleksandre basilaia alley","ალექსანდრე ბასილაიას ქუჩა","unique-contained-name","1"
"Aleksandre Ioseliani II Lane","aleksandre ioseliani ii","","unmatched","0"
"aleksi-meskhishvili st.","aleksi meskhishvili","მესხიშვილის ქუჩა","unique-contained-name","1"
"algeti st.","algeti","ალგეთის ქუჩა","exact","1"
"alikhaniani st.","alikhaniani","ისააკ ალიხანიანის ქუჩა","unique-contained-name","1"
"Almond Orchards St.","almond orchards","","unmatched","0"
"alvani st.","alvani","","unmatched","0"
"amagleba st.","amagleba","","unmatched","0"
"amagleba turn","amagleba turn","","unmatched","0"
"ambrolauri st.","ambrolauri","ამბროლაურის ქუჩა","exact","1"
"Amilakhvari St.","amilakhvari","","ambiguous","4"
"anaklia st.","anaklia","ანაკლიას ქუჩა","exact","1"
"ananuri st.","ananuri","","unmatched","0"
"Anapa st.","anapa","","unmatched","0"
"Andronikashvili st.","andronikashvili","ანდრონიკაშვილის ქუჩა","exact","1"
"Anjaparidze II Lane","anjaparidze ii","ანჯაფარიძის ჷუჩა","unique-contained-name","1"
"anjaparizde st.","anjaparizde","","unmatched","0"
"antelava st.","antelava","","ambiguous","2"
"Antimoz Iveriel st.","antimoz iveriel","","unmatched","0"
"Antonovskaia st.","antonovskaia","ანტონოვსკაიას ქუჩა","exact","1"
"Aphaqidze st.","aphaqidze","","unmatched","0"
"Aphkhazeti st.","aphkhazeti","","unmatched","0"
"apkhazeti st.","apkhazeti","აფხაზეთის ქუჩა","exact","1"
"aragveli st.","aragveli","","ambiguous","2"
"aragvi st.","aragvi","არაგვის ქუჩა","exact","1"
"aragvispireli st.","aragvispireli","არაგვისპირელის ქუჩა","exact","1"
"arakishvili st.","arakishvili","არაყიშვილის ქუჩა","exact","1"
"araleti st.","araleti","არალეთის ქუჩა","exact","1"
"ararati st.","ararati","","unmatched","0"
"arbo st.","arbo","არბოს ქუჩა","exact","1"
"arboSiki st.","arbosiki","","unmatched","0"
"Archil Mephe st.","archil mephe","","unmatched","0"
"Archil Sulakauri St.","archil sulakauri","არჩილ სულაკაურის ქუჩა","exact","1"
"Ardaziani st.","ardaziani","ლავრენტი არდაზიანის ქუჩა","unique-contained-name","1"
"ardoni st.","ardoni","","unmatched","0"
"areshidze st.","areshidze","ქრისტეფორე არეშიძის ქუჩა","unique-contained-name","1"
"argveti st.","argveti","არგვეთის ქუჩა","exact","1"
"armazi st.","armazi","არმაზის ქუჩა","exact","1"
"Arsen Ikaltoeli St.","arsen ikaltoeli","არსენ იყალთოელის ქუჩა","exact","1"
"arsena st.","arsena","არსენას ქუჩა","exact","1"
"Artmelidze st.","artmelidze","დავით ართმელიძის ქუჩა","unique-contained-name","1"
"Artur Laisti st.","artur laisti","","unmatched","0"
"artvini st.","artvini","ართვინის ქუჩა","exact","1"
"arveladze st.","arveladze","პეტრე არველაძის ქუჩა","unique-contained-name","1"
"Arzakan Emukhvari st.","arzakan emukhvari","","unmatched","0"
"Asatiani st.","asatiani","ასათიანის ქუჩა","exact","1"
"Asi atasi mocame st.","asi atasi mocame","","unmatched","0"
"askana st.","askana","","unmatched","0"
"askhini st.","askhini","","unmatched","0"
"askurava st.","askurava","","unmatched","0"
"aslanidi st.","aslanidi","პავლე ასლანიდის ქუჩა","unique-contained-name","1"
"Asmati st.","asmati","ასმათის ქუჩა","exact","1"
"Aspindza St.","aspindza","ასპინძის ქუჩა","exact","1"
"asureti st.","asureti","ასურეთის ქუჩა","exact","1"
"Ateni st.","ateni","ატენის ქუჩა","exact","1"
"atoci st.","atoci","","unmatched","0"
"atoneli st.","atoneli","","ambiguous","4"
"Avaliani st.","avaliani","ავალიანის ქუჩა","exact","1"
"Avalishvili st.","avalishvili","","ambiguous","2"
"Avchala st.","avchala","ავჭალას ქუჩა","exact","1"
"avlabri st.","avlabri","","unmatched","0"
"avlevi st.","avlevi","","unmatched","0"
"Avsahni st.","avsahni","","unmatched","0"
"Avshni III Lane","avshni iii","ავშნის ქუჩა","unique-contained-name","1"
"avtandili st.","avtandili","ავთანდილის ქუჩა","exact","1"
"Avto Varazi I lane","avto varazi i","ავთო ვარაზის ქუჩა","unique-contained-name","1"
"Avto Varazi st.","avto varazi","ავთო ვარაზის ქუჩა","exact","1"
"Azmaifarashvili st.","azmaifarashvili","","unmatched","0"
"b. chichinadze st.","b chichinadze","ჭიჭინაძის ქუჩა","unique-contained-name","1"
"b. khmelnicki st","b khmelnicki","","unmatched","0"
"b. Khmelnytskyi II","b khmelnytskyi ii","","unmatched","0"
"B. Paichadze st.","b paichadze","","unmatched","0"
"B. Zghenti St.","b zghenti","","unmatched","0"
"B.Kvernadze st","b kvernadze","","unmatched","0"
"baazov st.","baazov","დავით ბააზოვის ქუჩა","unique-contained-name","1"
"babiskhevi st.","babiskhevi","","unmatched","0"
"bachanas st.","bachanas","","unmatched","0"
"Badagi st.","badagi","ბადაგის ქუჩა","exact","1"
"badiauri st.","badiauri","ბადიაურის ქუჩა","exact","1"
"bagdadi st.","bagdadi","","unmatched","0"
"Bagdavadze st.","bagdavadze","","unmatched","0"
"Baghashvili st.","baghashvili","სპარტაკ ბაღაშვილის ქუჩა","unique-contained-name","1"
"baghnari st.","baghnari","","unmatched","0"
"bagi st.","bagi","","unmatched","0"
"bagineti st.","bagineti","ბაგინეთის ქუჩა","exact","1"
"bagrat III st.","bagrat iii","ბაგრატ III - ის ქუჩა","exact","1"
"Bagrati st.","bagrati","ბაგრატის ქუჩა","exact","1"
"bakhmaro st.","bakhmaro","","ambiguous","2"
"bakhtrioni st.","bakhtrioni","ბახტრიონის ქუჩა","exact","1"
"bakhvi turn","bakhvi turn","","unmatched","0"
"bako st.","bako","ბაქოს ქუჩა","exact","1"
"bakradze st.","bakradze","ბაქრაძის ქუჩა","exact","1"
"bakurcikhe st.","bakurcikhe","","unmatched","0"
"balanchini st.","balanchini","","unmatched","0"
"balanchivadze st.","balanchivadze","","ambiguous","3"
"bambis rigi","bambis rigi","ბამბის რიგი","exact","1"
"Bandzeladze st.","bandzeladze","ალექსანდრე ბანძელაძის ქუჩა","unique-contained-name","1"
"Baqarashvili st.","baqarashvili","","unmatched","0"
"Barakoni st.","barakoni","ბარაკონის ქუჩა","exact","1"
"baraleti st.","baraleti","ბარალეთის ქუჩა","exact","1"
"Baratashvili dead end","baratashvili dead end","ნიკოლოზ ბარათაშვილის ჩიხი","unique-contained-name","1"
"baratashvili rise","baratashvili rise","ნიკოლოზ ბარათაშვილის აღმართი","unique-contained-name","1"
"baratashvili st.","baratashvili","","ambiguous","3"
"barisakho st.","barisakho","","ambiguous","2"
"barnovi st.","barnovi","ბარნოვის ქუჩა","exact","1"
"batumi st.","batumi","","ambiguous","2"
"bazaleti st.","bazaleti","ბაზალეთის ქუჩა","exact","1"
"Bedia St.","bedia","ბედიას ქუჩა","exact","1"
"Begiashvili st.","begiashvili","ზურაბ ბეგიაშვილის ქუჩა","unique-contained-name","1"
"begleti st.","begleti","","unmatched","0"
"beliashvili st.","beliashvili","ბელიაშვილის ქუჩა","exact","1"
"Belinsky st.","belinsky","ბელინსკის ქუჩა","exact","1"
"benashvili st.","benashvili","ანდრია ბენაშვილის ქუჩა","unique-contained-name","1"
"bendeliani m","bendeliani m","ბენდელიანის ქუჩა","unique-contained-name","1"
"Beqa and Bushqen opizrebi st.","beqa and bushqen opizrebi","ოპიზრების ქუჩა","unique-contained-name","1"
"berbuki st.","berbuki","ბერბუკის ქუჩა","exact","1"
"berdzenishvili st.","berdzenishvili","","ambiguous","3"
"berdznis dead end","berdznis dead end","","unmatched","0"
"Beri Gabriel Salosi Ave.","beri gabriel salosi","","ambiguous","3"
"beridze st.","beridze","","ambiguous","4"
"beritashvili st.","beritashvili","ბერიტაშვილის ქუჩა","exact","1"
"Berthubani st.","berthubani","","unmatched","0"
"Berulava st.","berulava","","unmatched","0"
"Berznis st.","berznis","","unmatched","0"
"Beshenova st.","beshenova","","unmatched","0"
"besiki st.","besiki","","ambiguous","2"
"betania st.","betania","","ambiguous","2"
"Betashvili st.","betashvili","ჯუმბერ ბეთაშვილის ქუჩა","unique-contained-name","1"
"betlemi st.","betlemi","ბეთლემის ქუჩა","exact","1"
"bezhanishvili st.","bezhanishvili","ბეჟანიშვილის ქუჩა","exact","1"
"Bichvinta st.","bichvinta","","ambiguous","2"
"Bitsadze St.","bitsadze","ანდრო ბიწაძის ქუჩა","unique-contained-name","1"
"bjoleti st.","bjoleti","","unmatched","0"
"Block I - Digomi massive","block i digomi massive","","unmatched","0"
"Block II - Digomi massive","block ii digomi massive","","unmatched","0"
"Block III - Digomi massive","block iii digomi massive","","unmatched","0"
"Block IV - Digomi massive","block iv digomi massive","","unmatched","0"
"Block V - Digomi massive","block v digomi massive","","unmatched","0"
"Block VI - Digomi massive","block vi digomi massive","","unmatched","0"
"Block VII - Vazha-Pshavela","block vii vazha pshavela","","unmatched","0"
"bneli dead end","bneli dead end","ბნელის ჩიხი","exact","1"
"Bob walsh st.","bob walsh","ბობ უოლშის ქუჩა","exact","1"
"Bochorishvili st.","bochorishvili","","ambiguous","3"
"bochormi st.","bochormi","ბოჭორმის I ჩიხი","unique-contained-name","1"
"bocvadze st","bocvadze","","unmatched","0"
"bodavi I st.","bodavi i","","unmatched","0"
"bodavi II st.","bodavi ii","","unmatched","0"
"bodbe st.","bodbe","ბოდბეს ქუჩა","exact","1"
"Bogdan Khmelnytskyi IV Lane","bogdan khmelnytskyi iv","","unmatched","0"
"bogvi st.","bogvi","ბოგვის ქუჩა","exact","1"
"bokhou st.","bokhou","","unmatched","0"
"Bolkvadze st.","bolkvadze","ბოლქვაძის ქუჩა","exact","1"
"bolnisi st.","bolnisi","ბოლნისის ქუჩა","exact","1"
"bolo rise st.","bolo rise","","unmatched","0"
"borbalo st.","borbalo","ბორბალოს ქუჩა","exact","1"
"Borchaloeli st.","borchaloeli","","ambiguous","2"
"borodin st.","borodin","","unmatched","0"
"botanikuri st.","botanikuri","ბოტანიკურის ქუჩა","exact","1"
"Brodvei st.","brodvei","","unmatched","0"
"brolosani st.","brolosani","","unmatched","0"
"brose st.","brose","","unmatched","0"
"Brotseuli st.","brotseuli","ბროწეულის ქუჩა","exact","1"
"budapeshti I turn","budapeshti i turn","ბუდაპეშტის ქუჩა","unique-contained-name","1"
"budapeshti II turn","budapeshti ii turn","ბუდაპეშტის ქუჩა","unique-contained-name","1"
"budapeshti st.","budapeshti","ბუდაპეშტის ქუჩა","exact","1"
"bugeuli st.","bugeuli","ბუგეულის ქუჩა","exact","1"
"bukhaidze st.","bukhaidze","","ambiguous","2"
"Bukitsikhi st.","bukitsikhi","","unmatched","0"
"bulachauri st.","bulachauri","ბულაჩაური","exact","1"
"Burdzgla st.","burdzgla","მიხეილ ბურძგლას ქუჩა","unique-contained-name","1"
"burkiashvili st.","burkiashvili","ბესიკ ბურკიაშვილის ქუჩა","unique-contained-name","1"
"bzipi st.","bzipi","","ambiguous","2"
"cabadze st.","cabadze","","unmatched","0"
"caishi st.","caishi","","unmatched","0"
"calenjikha st.","calenjikha","","unmatched","0"
"cemi st.","cemi","","unmatched","0"
"cereteli st.","cereteli","აკაკი წერეთლის ქუჩა","unique-contained-name","1"
"cereteli turn","cereteli turn","","unmatched","0"
"cernaki st.","cernaki","","unmatched","0"
"ch. bendeliani st.","ch bendeliani","ბენდელიანის ქუჩა","unique-contained-name","1"
"Chabua Amirejibi hwy","chabua amirejibi","","ambiguous","2"
"chabukiani st.","chabukiani","ვახტანგ ჭაბუკიანის ქუჩა","unique-contained-name","1"
"chachava st.","chachava","","ambiguous","4"
"chailuri st.","chailuri","ჩაილურის შესახვევი","exact","1"
"chaisubani st.","chaisubani","","ambiguous","2"
"Chakhava st.","chakhava","","ambiguous","2"
"chakhrukhadze st.","chakhrukhadze","","ambiguous","2"
"Chaladidi St.","chaladidi","ჭალადიდი — ხორგა — ხობი","unique-contained-name","1"
"chanchibadze st.","chanchibadze","ჩანჩიბაძის ქუჩა","exact","1"
"Chandari st.","chandari","","unmatched","0"
"chargali st.","chargali","ჩარგლის ქუჩა","exact","1"
"Chargali st. (Sanzona)","chargali sanzona","ჩარგლის ქუჩა","unique-contained-name","1"
"charkhi st.","charkhi","ჩარხის ქუჩა","exact","1"
"Chavchavadze st.","chavchavadze","","ambiguous","6"
"chechelashvili st.","chechelashvili","ოთარ ჩეჩელაშვილის ქუჩა","unique-contained-name","1"
"Chekhov st.","chekhov","ჩეხოვის ქუჩა","exact","1"
"Chelidze st.","chelidze","","ambiguous","3"
"chemishevski st.","chemishevski","","unmatched","0"
"Cherry St.","cherry","","unmatched","0"
"chiatura st.","chiatura","ჭიათურას ქუჩა","exact","1"
"chiaureli st.","chiaureli","","ambiguous","2"
"Chichinadze st.","chichinadze","ჭიჭინაძის ქუჩა","exact","1"
"Chikhladze st.","chikhladze","","ambiguous","2"
"chikobava st.","chikobava","","unmatched","0"
"chikovani st.","chikovani","ჩიქოვანის ქუჩა","exact","1"
"Chikvaidze I lane","chikvaidze i","","unmatched","0"
"Chikvaidze st.","chikvaidze","","ambiguous","2"
"Chiladze st.","chiladze","","ambiguous","2"
"Chilaia st.","chilaia","","ambiguous","2"
"chirnakhuli st.","chirnakhuli","ჭირნახულის I ჩიხი","unique-contained-name","1"
"chitaia st.","chitaia","გ. ჩიტაიას ქუჩა","unique-contained-name","1"
"chkalovi st.","chkalovi","","unmatched","0"
"chkhikvadze st.","chkhikvadze","","ambiguous","2"
"chkondideli st.","chkondideli","ჭყონდიდელის ქუჩა","exact","1"
"chochua st.","chochua","ჩოჩუას ქუჩა","exact","1"
"chokhatauri st.","chokhatauri","ჩოხატაურის ქუჩა","exact","1"
"cholokashvili avenue","cholokashvili","","ambiguous","2"
"cholokashvili st.","cholokashvili","","ambiguous","2"
"chonkadze st.","chonkadze","","ambiguous","2"
"choporti st.","choporti","","ambiguous","2"
"chorokhi st.","chorokhi","ჭოროხის ქუჩა","exact","1"
"chovelidze st.","chovelidze","თამარ ჭოველიძის ქუჩა","unique-contained-name","1"
"chrebalo st.","chrebalo","ჭრებალოს ქუჩა","exact","1"
"chrelashvili st.","chrelashvili","","unmatched","0"
"chubinashvili st.","chubinashvili","გიორგი ჩუბინაშვილის ქუჩა","unique-contained-name","1"
"chubinidze st.","chubinidze","","unmatched","0"
"cikhisdziri","cikhisdziri","","unmatched","0"
"cimakuridze st.","cimakuridze","","unmatched","0"
"cinamdzgrishvili st.","cinamdzgrishvili","","unmatched","0"
"cisartkela st.","cisartkela","","unmatched","0"
"ciskri st.","ciskri","","unmatched","0"
"ckhemi st.","ckhemi","","unmatched","0"
"ckhvedadze st.","ckhvedadze","","unmatched","0"
"ckneti st.","ckneti","","unmatched","0"
"ckvitishvili st.","ckvitishvili","","unmatched","0"
"cnorischkali","cnorischkali","","unmatched","0"
"codnis kari st.","codnis kari","","unmatched","0"
"cuckhvaTi st.","cuckhvati","","unmatched","0"
"cuckiridze st.","cuckiridze","","unmatched","0"
"curtaveli st.","curtaveli","","unmatched","0"
"Cxinvali st.","cxinvali","","unmatched","0"
"d. abashidze st.","d abashidze","აბაშიძის ქუჩა","unique-contained-name","1"
"D. Aleksidze st.","d aleksidze","","unmatched","0"
"d. bakradze st.","d bakradze","ბაქრაძის ქუჩა","unique-contained-name","1"
"d. berishvili st.","d berishvili","","unmatched","0"
"d. chichinadze st.","d chichinadze","ჭიჭინაძის ქუჩა","unique-contained-name","1"
"d. gamrekeli st.","d gamrekeli","","unmatched","0"
"d. jgenti st.","d jgenti","","unmatched","0"
"d. kacharava st.","d kacharava","","unmatched","0"
"d. kakabadze st.","d kakabadze","კაკაბაძის ქუჩა","unique-contained-name","1"
"d. kldiashvili st.","d kldiashvili","","unmatched","0"
"D. Tavdadebuli St.","d tavdadebuli","დიმიტრი თავდადებულის ქუჩა","unique-contained-name","1"
"D.Kifiani st.","d kifiani","","unmatched","0"
"d.megreli st.","d megreli","","unmatched","0"
"d.sarajishvili st.","d sarajishvili","სარაჯიშვილის ქუჩა","unique-contained-name","1"
"D.Tsurtsumia st.","d tsurtsumia","წურწუმიას ქუჩა","unique-contained-name","1"
"dabakhana st.","dabakhana","","unmatched","0"
"daisi st.","daisi","დაისის ქუჩა","exact","1"
"Damenia st.","damenia","ზაზა დამენიას ქუჩა","unique-contained-name","1"
"Dampalo Village","dampalo village","","unmatched","0"
"Danelia st.","danelia","","ambiguous","4"
"Danibegashvili st","danibegashvili","რაფიელ დანიბეგაშვილის ქუჩა","unique-contained-name","1"
"daraselia st.","daraselia","","ambiguous","2"
"dariali st.","dariali","","ambiguous","2"
"darkveti st.","darkveti","დარკვეთის ქუჩა","exact","1"
"David Agmashenebeli st.","david agmashenebeli","დავით აღმაშენებელი ქუჩა","exact","1"
"David Garejeli st.","david garejeli","დავით გარეჯელის ქუჩა","exact","1"
"David Sarajishvili st.","david sarajishvili","დავით სარაჯიშვილის ქუჩა","exact","1"
"Davit Jabidze st.","davit jabidze","ჯაბიძის ქუჩა","unique-contained-name","1"
"Davit Kobakhidze Street","davit kobakhidze","კობახიძის ქუჩა","unique-contained-name","1"
"davitashvili st.","davitashvili","დავითაშვილის ქუჩა","exact","1"
"Debi Ishxnelebi st.","debi ishxnelebi","","unmatched","0"
"dedoplistskaros st.","dedoplistskaros","","unmatched","0"
"dekabristebi st.","dekabristebi","","unmatched","0"
"delisi I st.","delisi i","დელისის ქუჩა","unique-contained-name","1"
"delisi II st.","delisi ii","დელისის ქუჩა","unique-contained-name","1"
"delisi st.","delisi","დელისის ქუჩა","exact","1"
"depo st.","depo","დეპოს ქუჩა","exact","1"
"Devdariani St.","devdariani","ლევან დევდარიანის ქუჩა","unique-contained-name","1"
"dgebuadze st.","dgebuadze","","ambiguous","2"
"didgori st.","didgori","დიდგორის ქუჩა","exact","1"
"didi jikhaishi st.","didi jikhaishi","დიდი ჯიხაიშის ქუჩა","exact","1"
"didi kheivani st.","didi kheivani","","unmatched","0"
"didkhevi rise","didkhevi rise","","unmatched","0"
"didube st.","didube","","unmatched","0"
"Dighomistskali St.","dighomistskali","","unmatched","0"
"digombari st.","digombari","","unmatched","0"
"digomi 1","digomi 1","1-ლი კუჩა","unique-contained-name","1"
"digomi 2","digomi 2","","unmatched","0"
"digomi 3","digomi 3","","unmatched","0"
"digomi 4","digomi 4","","unmatched","0"
"digomi 5","digomi 5","","unmatched","0"
"digomi 6","digomi 6","","unmatched","0"
"digomi 7","digomi 7","","unmatched","0"
"digomi 8","digomi 8","","unmatched","0"
"digomi 9","digomi 9","","unmatched","0"
"Digomi village","digomi village","","unmatched","0"
"Dima Batiashvili st.","dima batiashvili","დიმიტრი (დიმა) ბათიაშვილის ქუჩა","unique-contained-name","1"
"dirsichala st.","dirsichala","დირსიჭალას ქუჩა","exact","1"
"Disevi st.","disevi","დისევის ქუჩა","exact","1"
"dmanisi st.","dmanisi","დმანისის ქუჩა","exact","1"
"dobrolubov st.","dobrolubov","","unmatched","0"
"dodashvili st.","dodashvili","ს. დოდაშვილის ქუჩა","exact","1"
"Dodo and Kote Khimshiashvili St.","dodo and kote khimshiashvili","დოდო და კოტე ხიმშიაშვილების ქუჩა","exact","1"
"doesi st.","doesi","","unmatched","0"
"dolabauri I st.","dolabauri i","","unmatched","0"
"dolabauri III st.","dolabauri iii","","unmatched","0"
"Dolidze st.","dolidze","დოლიძის ქუჩა","exact","1"
"Dondua st.","dondua","ხათუნა დონდუას ქუჩა","unique-contained-name","1"
"Dorminika Eristavi st.","dorminika eristavi","ერისთავის ქუჩა","unique-contained-name","1"
"Drandi st.","drandi","დრანდის ქუჩა","exact","1"
"Dumbadze St.","dumbadze","","ambiguous","2"
"dusheti st.","dusheti","დუშეთის ქუჩა","exact","1"
"dviri st.","dviri","დვირის ქუჩა","exact","1"
"dzegami st.","dzegami","","unmatched","0"
"Dzeglevi st.","dzeglevi","ძეგლევის ქუჩა","exact","1"
"dzeveri st.","dzeveri","","unmatched","0"
"dzmebi orbelianebi st.","dzmebi orbelianebi","","unmatched","0"
"Dzmoba II st.","dzmoba ii","","unmatched","0"
"Dzotsi st.","dzotsi","ძოწის ქუჩა","exact","1"
"E. Amashukeli st.","e amashukeli","","unmatched","0"
"e. andronikashvili st.","e andronikashvili","ანდრონიკაშვილის ქუჩა","unique-contained-name","1"
"e. andronikashvili st. (Zahesi)","e andronikashvili zahesi","","unmatched","0"
"E. Botsvadze st.","e botsvadze","","unmatched","0"
"E. Chavchavadze st.","e chavchavadze","","unmatched","0"
"e. gabashvili st.","e gabashvili","გაბაშვილის ქუჩა","unique-contained-name","1"
"E. Kharadze st.","e kharadze","","unmatched","0"
"E. Magalashvili st.","e magalashvili","","unmatched","0"
"E. Porakishvili-Sarajishvili st.","e porakishvili sarajishvili","სარაჯიშვილის ქუჩა","unique-contained-name","1"
"e. takhaishvili st.","e takhaishvili","","unmatched","0"
"e. tatishvili st.","e tatishvili","","unmatched","0"
"E. Zakaraia st.","e zakaraia","ზაქარაიას ქუჩა","unique-contained-name","1"
"E.Akhvlediani st.","e akhvlediani","","unmatched","0"
"E.Cherkezishvili st.","e cherkezishvili","","unmatched","0"
"edisi st.","edisi","ედისის ქუჩა","exact","1"
"efrem mcire st.","efrem mcire","","unmatched","0"
"Egnate and Vakhtang Fifia st.","egnate and vakhtang fifia","","unmatched","0"
"Egrisi st.","egrisi","ეგრისის ქუჩა","exact","1"
"ekaladze st.","ekaladze","","unmatched","0"
"ekimi st.","ekimi","ექიმის გასასვლელი","unique-contained-name","1"
"Ekvtime Kheladze st.","ekvtime kheladze","ექვთიმე ხელაძის ქუჩა","exact","1"
"eldari st.","eldari","ელდარის ქუჩა","exact","1"
"Eliso Chipashvili st.","eliso chipashvili","ელისო ჭიპაშვილის ქუჩა","exact","1"
"Elo Andronikashvili st.","elo andronikashvili","ელო ანდრონიკაშვილის ქუჩა","exact","1"
"Elver Kupatadze I Exit","elver kupatadze i exit","ელვერ კუპატაძის ქუჩა","unique-contained-name","1"
"Emir Burjanadze st.","emir burjanadze","ემირ ბურჯანაძის ქუჩა","exact","1"
"Energetic st.","energetic","","unmatched","0"
"engurhetsi st.","engurhetsi","","unmatched","0"
"eniseli st.","eniseli","ენისელის ქუჩა","exact","1"
